"index","MID","GID","ID"
"847","tt1082075","54","847"
"848","tt2404519","160","848"
"849","tt0286421","161","849"
"850","tt0107986","67","850"
"851","tt0307873","162","851"
"852","tt0330843","60","852"
"853","tt0172175","8","853"
"854","tt0276309","26","854"
"855","tt0105166","90","855"
"856","tt2073070","54","856"
"857","tt0499041","54","857"
"858","tt0319020","1","858"
"859","tt6620324","163","859"
"860","tt0089194","46","860"
"861","tt2417560","10","861"
"862","tt0392360","52","862"
"863","tt0172170","54","863"
"864","tt0106653","19","864"
"865","tt4683366","46","865"
"866","tt2188805","34","866"
"867","tt0489486","109","867"
"868","tt0110546","39","868"
"869","tt5785200","164","869"
"870","tt2633598","4","870"
"871","tt0246914","105","871"
"872","tt0154565","165","872"
"873","tt0116391","54","873"
"874","tt1099196","85","874"
"875","tt0104404","5","875"
"876","tt0882967","116","876"
"877","tt0375791","112","877"
"878","tt0178184","52","878"
"879","tt0346507","52","879"
"880","tt0348187","46","880"
"881","tt1907761","8","881"
"882","tt0111780","112","882"
"883","tt0306855","166","883"
"884","tt6046994","58","884"
"885","tt2905768","15","885"
"886","tt1174041","20","886"
"887","tt0347416","155","887"
"888","tt4262516","5","888"
"889","tt3615160","167","889"
"890","tt0071800","68","890"
"891","tt0172761","58","891"
"892","tt0084630","23","892"
"893","tt1455811","1","893"
"894","tt2406676","168","894"
"895","tt1754920","50","895"
"896","tt3716142","40","896"
"897","tt1170404","20","897"
"898","tt0281102","169","898"
"899","tt0229193","19","899"
"900","tt2215163","5","900"
"901","tt0444820","34","901"
"902","tt0995718","124","902"
"903","tt2077833","112","903"
"904","tt0453729","75","904"
"905","tt1773015","85","905"
"906","tt0265690","12","906"
"907","tt0115042","23","907"
"908","tt0097563","112","908"
"909","tt0823451","55","909"
"910","tt1582466","149","910"
"911","tt1980986","88","911"
"912","tt0150433","170","912"
"913","tt2178508","72","913"
"914","tt0075669","23","914"
"915","tt0341562","55","915"
"916","tt0303661","16","916"
"917","tt1451797","68","917"
"918","tt0385351","107","918"
"919","tt0456500","171","919"
"920","tt0107321","8","920"
"921","tt0349620","12","921"
"922","tt1188982","46","922"
"923","tt5785116","27","923"
"924","tt0300475","7","924"
"925","tt0196635","54","925"
"926","tt0085886","23","926"
"927","tt0833553","172","927"
"928","tt0121352","141","928"
"929","tt1328634","50","929"
"930","tt0322653","20","930"
"931","tt0139525","58","931"
"932","tt1242530","20","932"
"933","tt0470614","19","933"
"934","tt3501994","79","934"
"935","tt0251356","173","935"
"936","tt0189492","50","936"
"937","tt0284811","174","937"
"938","tt0486615","64","938"
"939","tt0118957","40","939"
"940","tt0374660","54","940"
"941","tt6095994","102","941"
"942","tt0177502","10","942"
"943","tt0295603","151","943"
"944","tt0473567","170","944"
"945","tt0114031","10","945"
"946","tt0348843","116","946"
"947","tt0126871","1","947"
"948","tt1185412","90","948"
"949","tt0495034","23","949"
"950","tt1252596","65","950"
"951","tt0190419","54","951"
"952","tt0311411","46","952"
"953","tt2630076","19","953"
"954","tt0106221","5","954"
"955","tt4386684","27","955"
"956","tt1618430","54","956"
"957","tt3107246","175","957"
"958","tt0077609","5","958"
"959","tt2112131","72","959"
"960","tt6734984","72","960"
"961","tt0371735","20","961"
"962","tt7549484","23","962"
"963","tt0102071","54","963"
"964","tt0369516","114","964"
"965","tt0061842","101","965"
"966","tt7262178","40","966"
"967","tt0062177","8","967"
"968","tt5212160","176","968"
"969","tt1727535","74","969"
"970","tt0072777","40","970"
"971","tt2094854","116","971"
"972","tt2361148","19","972"
"973","tt0437238","23","973"
"974","tt0359325","26","974"
"975","tt0320097","23","975"
"976","tt0339864","112","976"
"977","tt0136352","67","977"
"978","tt0109134","34","978"
"979","tt3531852","28","979"
"980","tt0374184","39","980"
"981","tt0340178","58","981"
"982","tt0314557","177","982"
"983","tt0106725","20","983"
"984","tt0064506","102","984"
"985","tt1290054","46","985"
"986","tt0154749","107","986"
"987","tt3159708","1","987"
"988","tt4338154","7","988"
"989","tt1627924","170","989"
"990","tt4117066","178","990"
"991","tt0151466","26","991"
"992","tt0155805","54","992"
