"index","MID","title","year","rating","num_votes"
"319","tt1049405","The Other End of the Line","2008","6.2","5403"
"320","tt2855648","Madras Cafe","2013","7.7","20300"
"321","tt0449999","Kabhi Alvida Naa Kehna","2006","6.1","16374"
"322","tt1954598","Ladies vs. Ricky Bahl","2011","6.0","7610"
"323","tt2609218","Ragini MMS 2","2014","3.9","2389"
"324","tt0222012","Hey Ram","2000","8.0","9888"
"325","tt5286444","Neerja","2016","7.7","17500"
"326","tt0995740","No Smoking","2007","7.2","5458"
"327","tt2359810","Raanjhanaa","2013","7.6","26011"
"328","tt2229848","Chashme Baddoor","2013","5.4","4612"
"329","tt2168910","Cocktail","2012","6.2","11935"
"330","tt0272736","Mujhse Dosti Karoge!","2002","5.1","4358"
"331","tt0439662","Fanaa","2006","7.2","28078"
"332","tt1375789","Race 2","2013","5.3","13733"
"333","tt1639426","Udaan","2010","8.2","37942"
"334","tt6299040","The Ghazi Attack","2017","7.6","9077"
"335","tt4169250","M.S. Dhoni: The Untold Story","2016","7.7","27042"
"336","tt1091229","Chandni Chowk to China","2009","4.0","6944"
"337","tt1433810","Dhobi Ghat","2010","7.1","11406"
"338","tt5697870","Lucknow Central","2017","6.1","2073"
"339","tt4940456","Mirzya","2016","4.7","1495"
"340","tt0151150","Josh","2000","6.2","8426"
"341","tt5477608","Kahaani 2","2016","6.6","4128"
"342","tt7142506","Sir","2018","7.0","146"
"343","tt0376127","Anniyan","2005","8.2","11244"
"344","tt4276752","Xun Long Jue","2015","6.0","2798"
"345","tt0117878","Tere Mere Sapne","1996","6.2","422"
"346","tt5638500","1920 London","2016","4.1","1261"
"347","tt0463345","La mujer de mi hermano","2005","6.2","2902"
"348","tt6613812","Angrezi Mein Kehte Hain","2018","6.8","741"
"349","tt0114142","Playback","1996","4.0","291"
"350","tt4333674","Hunterrr","2015","7.0","4936"
"351","tt4865436","Hate Story 3","2015","4.5","2631"
"352","tt5156746","Force 2","2016","6.3","4028"
"353","tt0315642","Wazir","2016","7.1","15105"
"354","tt2980794","Highway","2014","7.6","22497"
"355","tt0109117","Andaz Apna Apna","1994","8.2","44368"
