"index","MID","LAID","ID"
"883","tt0306855","2","883"
"884","tt6046994","2","884"
"885","tt2905768","4","885"
"886","tt1174041","2","886"
"887","tt0347416","2","887"
"888","tt4262516","2","888"
"889","tt3615160","16","889"
"890","tt0071800","2","890"
"891","tt0172761","2","891"
"892","tt0084630","2","892"
"893","tt1455811","2","893"
"894","tt2406676","2","894"
"895","tt1754920","2","895"
"896","tt3716142","2","896"
"897","tt1170404","2","897"
"898","tt0281102","2","898"
"899","tt0229193","2","899"
"900","tt2215163","2","900"
"901","tt0444820","2","901"
"902","tt0995718","2","902"
"903","tt2077833","2","903"
"904","tt0453729","2","904"
"905","tt1773015","2","905"
"906","tt0265690","2","906"
"907","tt0115042","2","907"
"908","tt0097563","2","908"
"909","tt0823451","2","909"
"910","tt1582466","4","910"
"911","tt1980986","2","911"
"912","tt0150433","2","912"
"913","tt2178508","7","913"
"914","tt0075669","2","914"
"915","tt0341562","2","915"
"916","tt0303661","0","916"
"917","tt1451797","2","917"
"918","tt0385351","2","918"
"919","tt0456500","2","919"
"920","tt0107321","2","920"
"921","tt0349620","2","921"
"922","tt1188982","2","922"
"923","tt5785116","2","923"
"924","tt0300475","2","924"
"925","tt0196635","2","925"
"926","tt0085886","2","926"
"927","tt0833553","2","927"
"928","tt0121352","2","928"
"929","tt1328634","2","929"
"930","tt0322653","2","930"
"931","tt0139525","2","931"
"932","tt1242530","2","932"
"933","tt0470614","2","933"
"934","tt3501994","2","934"
"935","tt0251356","2","935"
"936","tt0189492","2","936"
"937","tt0284811","2","937"
"938","tt0486615","2","938"
"939","tt0118957","2","939"
"940","tt0374660","2","940"
"941","tt6095994","17","941"
"942","tt0177502","2","942"
"943","tt0295603","2","943"
"944","tt0473567","2","944"
"945","tt0114031","2","945"
"946","tt0348843","2","946"
"947","tt0126871","2","947"
"948","tt1185412","2","948"
"949","tt0495034","2","949"
"950","tt1252596","2","950"
"951","tt0190419","2","951"
"952","tt0311411","2","952"
"953","tt2630076","2","953"
"954","tt0106221","2","954"
"955","tt4386684","2","955"
"956","tt1618430","2","956"
"957","tt3107246","6","957"
"958","tt0077609","2","958"
"959","tt2112131","2","959"
"960","tt6734984","4","960"
"961","tt0371735","2","961"
"962","tt7549484","2","962"
"963","tt0102071","2","963"
"964","tt0369516","2","964"
"965","tt0061842","2","965"
"966","tt7262178","2","966"
"967","tt0062177","2","967"
"968","tt5212160","2","968"
"969","tt1727535","2","969"
"970","tt0072777","2","970"
"971","tt2094854","2","971"
"972","tt2361148","2","972"
"973","tt0437238","2","973"
"974","tt0359325","2","974"
"975","tt0320097","2","975"
"976","tt0339864","2","976"
"977","tt0136352","2","977"
"978","tt0109134","2","978"
"979","tt3531852","2","979"
"980","tt0374184","3","980"
"981","tt0340178","2","981"
"982","tt0314557","2","982"
"983","tt0106725","2","983"
"984","tt0064506","2","984"
"985","tt1290054","15","985"
"986","tt0154749","2","986"
"987","tt3159708","2","987"
"988","tt4338154","2","988"
"989","tt1627924","2","989"
"990","tt4117066","2","990"
"991","tt0151466","2","991"
"992","tt0155805","2","992"
"993","tt3524410","2","993"
